Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"501 Warren Street, CUMBERLAND, MD",https://www.estately.com/listings/info/501-warren-street-cumberland-md-21502,501_Warren_Street_CUMBERLAND_MD.jpg,"$279,000",House For Sale,69 photos,House For Sale,5,3,"2,110","6,305"
"532 Washington Street, CUMBERLAND, MD",https://www.estately.com/listings/info/532-washington-street-cumberland-md-21502,532_Washington_Street_CUMBERLAND_MD.jpg,"$998,000",House For Sale,146 photos,House For Sale,10,10,"9,136","14,720"
"504 504 Rear Dilley Street, CUMBERLAND, MD",https://www.estately.com/listings/info/504-504-rear-dilley-street-cumberland-md-21502,504_504_Rear_Dilley_Street_CUMBERLAND_MD.jpg,"$138,900",Multifamily For Sale,37 photos,Multifamily For Sale,–,–,"2,384","5,000"
"Dorn Street, CUMBERLAND, MD",https://www.estately.com/listings/info/dorn-street-cumberland-md-21502,Dorn_Street_CUMBERLAND_MD.jpg,"$22,000",Land For Sale,4 photos,Land For Sale,–,–,–,"8,200"
"Welton Drive, CUMBERLAND, MD",https://www.estately.com/listings/info/welton-drive-cumberland-md-21502,Welton_Drive_CUMBERLAND_MD.jpg,"$1,050,000",Land For Sale,1 photo,Land For Sale,–,–,–,
"300 Virginia Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/300-virginia-avenue-cumberland-md-21502,300_Virginia_Avenue_CUMBERLAND_MD.jpg,"$22,000",Land For Sale,1 photo,Land For Sale,–,–,–,"4,083"
"447 Williams Street, CUMBERLAND, MD",https://www.estately.com/listings/info/447-williams-street-cumberland-md-21502,447_Williams_Street_CUMBERLAND_MD.jpg,"$34,500",Land For Sale,1 photo,Land For Sale,–,–,–,
"126 Seymour Street, CUMBERLAND, MD",https://www.estately.com/listings/info/126-seymour-street-cumberland-md-21502,126_Seymour_Street_CUMBERLAND_MD.jpg,"$66,000",House For Sale,31 photos,House For Sale,4,2,"2,876","3,886"
"12528 Willowbrook Road, CUMBERLAND, MD",https://www.estately.com/listings/info/12528-willowbrook-road-cumberland-md-21502,12528_Willowbrook_Road_CUMBERLAND_MD.jpg,"$1,800,000",Land For Sale,1 photo,Land For Sale,–,–,–,
"2 12 Patterson Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/2-12-patterson-avenue,2_12_Patterson_Avenue_CUMBERLAND_MD.jpg,"$19,900",Land For Sale,9 photos,Land For Sale,–,–,–,
"Sheridan Place, CUMBERLAND, MD",https://www.estately.com/listings/info/sheridan-place--4,Sheridan_Place_CUMBERLAND_MD.jpg,"$7,000",Land For Sale,3 photos,Land For Sale,–,–,–,"14,700"
