Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"417 5th Street, Park Slope, NY",https://www.estately.com/listings/info/417-5th-street-park-slope-ny-11215,417_5th_Street_Park_Slope_NY.jpg,"$3,450,000",Multifamily For Sale,1 photo,Royal House Realty Inc,4,2,–,"1,667"
"1349 E 65th Street, Brooklyn, NY",https://www.estately.com/listings/info/1349-e-65th-street-brooklyn-ny-11234,1349_E_65th_Street_Brooklyn_NY.jpg,"$424,000",House For Sale,23 photos,REALHome Services & Solutions,2,2,"1,338","4,800"
"234 89th Street, Bay Ridge, NY",https://www.estately.com/listings/info/234-89th-street-bay-ridge-ny-11209,234_89th_Street_Bay_Ridge_NY.jpg,"$1,100,000",House For Sale,9 photos,Coldwell Banker Reliable R E,3,2,"1,580","1,280"
"358 E 28th Street, Flatbush, NY",https://www.estately.com/listings/info/358-e-28th-street-flatbush-ny-11226,358_E_28th_Street_Flatbush_NY.jpg,"$1,190,000",Multifamily For Sale,1 photo,5 Boro Realty Corp,6,2,–,"4,100"
"345 Webster Avenue Unit 1F, Kensington (Brooklyn), NY",https://www.estately.com/listings/info/345-webster-avenue-kensington-brooklyn-ny-11230--1,345_Webster_Avenue_Unit1F_Kensington_Brooklyn_NY.jpg,"$348,000",House For Sale,17 photos,RE/MAX Edge,1,1,730,
"53 Montauk Avenue, East New York, NY",https://www.estately.com/listings/info/171-3545316,53_Montauk_Avenue_East_New_York_NY.jpg,"$1,250,000",Multifamily For Sale,15 photos,Exit Realty Prime,8,3,–,"2,450"
"59 22 Palmetto Street, Ridgewood, NY",https://www.estately.com/listings/info/59-22-palmetto-street-ridgewood-ny-11385,59_22_Palmetto_Street_Ridgewood_NY.jpg,"$819,888",House For Sale,6 photos,Keller Williams Rlty Landmark,3,1,–,"3,125"
"224 Dover Street, Manhattan Beach, NY",https://www.estately.com/listings/info/224-dover-street-other-ny-11235,224_Dover_Street_Manhattan_Beach_NY.jpg,"$2,500,000",House For Sale,36 photos,Kats Maksim,4,4,"3,698","3,999"
"2863 Cropsey Avenue Unit 2f, Gravesend, NY",https://www.estately.com/listings/info/2863-cropsey-avenue-gravesend-ny-11214,2863_Cropsey_Avenue_Unit2f_Gravesend_NY.jpg,"$379,500",Condo For Sale,16 photos,Utopia Real Estate,1,1,–,
"762 E 37th Street, East Flatbush, NY",https://www.estately.com/listings/info/762-e-37th-street-east-flatbush-ny-11234,762_E_37th_Street_East_Flatbush_NY.jpg,"$750,000",House For Sale,6 photos,ABC Real Estate Services Inc,3,2,–,"2,200"
"766 Decatur Street Unit 2A, Brooklyn, NY",https://www.estately.com/listings/info/766-decatur-street-brooklyn-ny-11233,766_Decatur_Street_Unit2A_Brooklyn_NY.jpg,"$599,000",Condo For Sale,11 photos,Keller Williams NYC,1,1,615,
"94 Sackman Street, Brooklyn, NY",https://www.estately.com/listings/info/94-sackman-street-brooklyn-ny-11233,94_Sackman_Street_Brooklyn_NY.jpg,"$1,320,000",House For Sale,11 photos,Keller Williams NYC,5,4,–,
"201 Clinton Hill Unit 12G, Clinton Hill, NY",https://www.estately.com/listings/info/201-clinton-hill-clinton-hill-ny-11205,201_Clinton_Hill_Unit12G_Clinton_Hill_NY.jpg,"$699,000",House For Sale,10 photos,Keller Williams Realty Greater,1,1,–,
"5722 Avenue N, Mill Basin, NY",https://www.estately.com/listings/info/5722-avenue-mill-basin-ny-11234,5722_Avenue_N_Mill_Basin_NY.jpg,"$1,445,000",Multifamily For Sale,20 photos,Suits Realty LLC,7,4,–,"2,000"
"2068 E 65th Street, Bergen Beach, NY",https://www.estately.com/listings/info/2068-e-65th-street-bergen-beach-ny-11234,2068_E_65th_Street_Bergen_Beach_NY.jpg,"$829,000",House For Sale,11 photos,Charles Rutenberg Realty Inc,3,3,–,"2,000"
"2650 Ocean Parkway Unit 2G, Sheepshead Bay, NY",https://www.estately.com/listings/info/2650-ocean-parkway-sheepshead-bay-ny-11235,2650_Ocean_Parkway_Unit2G_Sheepshead_Bay_NY.jpg,"$450,000",House For Sale,19 photos,Keller Williams Realty Empire,3,2,"1,600",
"652 Sapphire Street, East New York, NY",https://www.estately.com/listings/info/652-sapphire-street-east-new-york-ny-11208--1,652_Sapphire_Street_East_New_York_NY.jpg,"$1,199,000",Multifamily For Sale,36 photos,RE/MAX City Square,7,5,"3,465","2,900"
"1083 Stanley Avenue, East New York, NY",https://www.estately.com/listings/info/1083-stanley-avenue-east-new-york-ny-11208,1083_Stanley_Avenue_East_New_York_NY.jpg,"$900,000",Multifamily For Sale,5 photos,Keller Williams Rlty Landmark,6,3,–,"2,520"
"8814 Bay Parkway Unit 2F, Bensonhurst, NY",https://www.estately.com/listings/info/8814-bay-parkway-bensonhurst-ny-11214,8814_Bay_Parkway_Unit2F_Bensonhurst_NY.jpg,"$298,888",House For Sale,8 photos,Weichert New Homes Co,1,1,–,
