Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"67 76 Booth Street Unit 6P, Forest Hills, NY",https://www.estately.com/listings/info/67-76-booth-street-forest-hills-ny-11375--49,67_76_Booth_Street_Unit6P_Forest_Hills_NY.jpg,"$220,000",House,2 photos,Brown Harris Stvns Forest Hill,–,1,–,
"139 15 254th Street, Rosedale, NY",https://www.estately.com/listings/info/139-15-254th-street-rosedale-ny-11422,139_15_254th_Street_Rosedale_NY.jpg,"$1,050,000",Multifamily For Sale,6 photos,HomeSmart CrossIsland,6,5,–,"3,317"
"85 15 Main Street Unit 4K, Briarwood, NY",https://www.estately.com/listings/info/85-15-main-street-briarwood-ny-11435--85,85_15_Main_Street_Unit4K_Briarwood_NY.jpg,"$254,888",House For Sale,18 photos,EXP Realty,1,1,900,
"843 Underhill Avenue Unit 58B, BRONX, NY",https://www.estately.com/listings/info/843-underhill-avenue-bronx-ny-10473--1,843_Underhill_Avenue_Unit58B_BRONX_NY.jpg,"$349,999",Condo For Sale,20 photos,"Compass Greater NY, LLC",2,2,936,
"69 18 66th Road, Middle Village, NY",https://www.estately.com/listings/info/69-18-66th-road-middle-village-ny-11379,69_18_66th_Road_Middle_Village_NY.jpg,"$1,298,000",Multifamily,36 photos,Coldwell Banker Phillips,7,5,–,"2,373"
"50 43 192nd Street, Fresh Meadows, NY",https://www.estately.com/listings/info/50-43-192nd-street-flushing-ny-11365,50_43_192nd_Street_Fresh_Meadows_NY.jpg,"$1,688,888",House For Sale,36 photos,Real Broker NY LLC,4,4,–,"4,000"
"109 Belmont Avenue Unit 6, Brownsville, NY",https://www.estately.com/listings/info/109-belmont-avenue-brownsville-ny-11212,109_Belmont_Avenue_Unit6_Brownsville_NY.jpg,"$980,000",Multifamily For Sale,17 photos,Winzone Realty Inc,8,3,–,"1,200"
"46 29 Douglaston Parkway, Douglaston, NY",https://www.estately.com/listings/info/46-29-douglaston-parkway-douglaston-ny-11362--3,46_29_Douglaston_Parkway_Douglaston_NY.jpg,"$1,749,000",House For Sale,25 photos,Winzone Realty Inc,4,5,–,"6,000"
"120 25 142nd Street, Jamaica, NY",https://www.estately.com/listings/info/120-25-142nd-street-jamaica-ny-11436,120_25_142nd_Street_Jamaica_NY.jpg,"$499,000",House For Sale,1 photo,Exit Realty Prime,3,2,–,"2,942"
"90 49 209th Street, Queens Village, NY",https://www.estately.com/listings/info/90-49-209th-street-queens-village-ny-11428,90_49_209th_Street_Queens_Village_NY.jpg,"$825,000",Multifamily,1 photo,RE/MAX Luxe,4,2,–,"2,800"
